,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nrounds,param_min_child_weight,param_lambda,param_eta,param_colsample_bytree,param_colsample_bylevel,param_alpha,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0,95.15480313301086,0.3583015300188668,0.0891613483428955,0.0290125593341284,2222.0,5.039684199579493,1024.0,0.2143109957132683,0.6666666666666666,1.0,0.4629373561436453,"{'nrounds': 2222.0, 'min_child_weight': 5.039684199579493, 'lambda': 1024.0, 'eta': 0.21431099571326834, 'colsample_bytree': 0.6666666666666666, 'colsample_bylevel': 1.0, 'alpha': 0.46293735614364534}",0.8972171600352017,0.901795032047538,0.9106086785200314,0.9127317519669704,0.9095685323673756,0.9063842309874234,0.0058885090060698,52,0.4154460719041279,0.3952569169960474,0.4197860962566845,0.4522875816993464,0.4707379134860051,0.4307029160684422,0.0271185025675053,85,0.9006562570717357,0.8961303462321792,0.901765504753282,0.9051607062019014,0.9058397464916252,0.9019105121501448,0.0034930543903699,52
1,28.921280670166016,0.2333453910810975,0.0652260780334472,0.01525099369094,1.0,14.813995396596646,1024.0,0.4629373561436453,0.6666666666666666,0.2222222222222222,0.0045567540608442,"{'nrounds': 1.0, 'min_child_weight': 14.813995396596646, 'lambda': 1024.0, 'eta': 0.46293735614364534, 'colsample_bytree': 0.6666666666666666, 'colsample_bylevel': 0.2222222222222222, 'alpha': 0.004556754060844206}",0.903774152473073,0.9094267657297724,0.9157375288763004,0.922497468255823,0.9139382254420816,0.9130748281554102,0.0062678944482965,24,0.4794007490636703,0.4474660074165636,0.4640605296343001,0.4771322620519159,0.4969097651421508,0.4729938626617201,0.0165022469181029,71,0.9056347589952478,0.8988458927359131,0.9038026256224536,0.9042553191489362,0.9078768673607968,0.9040830927726696,0.0029778173773367,39
2,36.34958786964417,0.6848367642885922,0.0801856040954589,0.0122075032401851,556.0,74.65785853287147,0.0992125657480124,0.0992125657480124,0.5555555555555556,0.6666666666666666,0.4629373561436453,"{'nrounds': 556.0, 'min_child_weight': 74.65785853287147, 'lambda': 0.09921256574801249, 'eta': 0.09921256574801249, 'colsample_bytree': 0.5555555555555556, 'colsample_bylevel': 0.6666666666666666, 'alpha': 0.46293735614364534}",0.9053560859169958,0.9091298489910672,0.9203240875527966,0.91908302173405,0.9128617472929812,0.9133509582975784,0.0057176246539284,23,0.4899497487437186,0.4584382871536524,0.4746192893401015,0.4894932014833126,0.4875621890547264,0.4800125431551024,0.012166871407108,64,0.9081240099570038,0.902692916949536,0.9062924400181076,0.906518786781349,0.9067451335445904,0.9060746574501174,0.0018072206735091,20
3,15.15676431655884,0.9442229408974088,0.060239028930664,0.007425799886654,2222.0,1.7144879657061456,47.03150375281921,0.2143109957132683,0.4444444444444444,0.0,2.160119477784612,"{'nrounds': 2222.0, 'min_child_weight': 1.7144879657061456, 'lambda': 47.03150375281921, 'eta': 0.21431099571326834, 'colsample_bytree': 0.4444444444444444, 'colsample_bylevel': 0.0, 'alpha': 2.1601194777846118}",0.8932876373604978,0.9009651254254184,0.9094216839619672,0.905425235646958,0.9022517916958792,0.902270294818144,0.0053570133998406,69,0.3724137931034483,0.3759999999999999,0.395693135935397,0.3962008141112618,0.4021304926764314,0.3884876471653077,0.0119318847004117,99,0.8970355284000905,0.8940936863543788,0.8983703033046627,0.8992756903576279,0.8983703033046627,0.8974291023442845,0.0018144699535635,82
4,22.55497727394104,3.0774360531806733,0.0578452587127685,0.0162167341838207,2222.0,43.54528000558007,47.03150375281921,0.0992125657480124,0.6666666666666666,0.4444444444444444,47.03150375281921,"{'nrounds': 2222.0, 'min_child_weight': 43.54528000558007, 'lambda': 47.03150375281921, 'eta': 0.09921256574801249, 'colsample_bytree': 0.6666666666666666, 'colsample_bylevel': 0.4444444444444444, 'alpha': 47.03150375281921}",0.8953387966013255,0.8975841685941917,0.9052501344756572,0.9109502804393552,0.9073654280595154,0.9032977616340088,0.0059145411274975,66,0.3835616438356164,0.3806970509383378,0.3832167832167832,0.3934426229508196,0.4344370860927152,0.3950710374068544,0.0201590599609989,96,0.8981670061099797,0.8954514596062457,0.9001810774105931,0.8995020371208692,0.903349932095971,0.8993303024687318,0.0025810623201607,74
5,22.28383779525757,1.8169164000405265,0.0654245853424072,0.0070406279608908,1667.0,25.3984168314912,0.0992125657480124,0.4629373561436453,0.4444444444444444,0.4444444444444444,0.0212623437527246,"{'nrounds': 1667.0, 'min_child_weight': 25.398416831491197, 'lambda': 0.09921256574801249, 'eta': 0.46293735614364534, 'colsample_bytree': 0.4444444444444444, 'colsample_bylevel': 0.4444444444444444, 'alpha': 0.021262343752724643}",0.900279783182636,0.8991037981978616,0.907525126099884,0.9120652216249904,0.9098080743164292,0.9057564006843604,0.0051690643172785,56,0.5399568034557235,0.4983012457531144,0.5223214285714286,0.5233853006681514,0.5411499436302142,0.5250229444157265,0.0155378859167326,9,0.9035980991174474,0.8997510749038244,0.9031235853327296,0.9031235853327296,0.9078768673607968,0.9034946424095056,0.0025886005173521,42
6,48.966811656951904,4.616691598777885,0.0629126071929931,0.0120203820584754,1667.0,2.9394689845511977,2.160119477784612,0.0992125657480124,0.2222222222222222,0.6666666666666666,0.0045567540608442,"{'nrounds': 1667.0, 'min_child_weight': 2.9394689845511977, 'lambda': 2.1601194777846118, 'eta': 0.09921256574801249, 'colsample_bytree': 0.2222222222222222, 'colsample_bylevel': 0.6666666666666666, 'alpha': 0.004556754060844206}",0.9094988045450652,0.912752719952026,0.9207961544107284,0.9252982102516164,0.9168175975695256,0.9170326973457924,0.0056143802474309,5,0.4918444165621079,0.4617346938775509,0.4777636594663278,0.4746192893401016,0.4974489795918367,0.480682207767585,0.0127279592176999,63,0.9083503054989815,0.9045032812853588,0.9069714803078316,0.9062924400181076,0.9108193752829334,0.9073873764786426,0.0021163982920183,9
7,27.22494673728943,5.164692141946218,0.1095036506652832,0.0304776406547765,2222.0,14.813995396596646,0.4629373561436453,0.4629373561436453,0.8888888888888888,0.8888888888888888,47.03150375281921,"{'nrounds': 2222.0, 'min_child_weight': 14.813995396596646, 'lambda': 0.46293735614364534, 'eta': 0.46293735614364534, 'colsample_bytree': 0.8888888888888888, 'colsample_bylevel': 0.8888888888888888, 'alpha': 47.03150375281921}",0.8988438743643061,0.9054967563063168,0.9110802577055892,0.9145409753057568,0.9082510516475812,0.90764258306591,0.0053253639074868,48,0.4969987995198078,0.4609756097560976,0.4872727272727273,0.4861612515042117,0.5,0.4862816776105688,0.0137436736234015,58,0.905182167911292,0.8999773704458022,0.9042553191489362,0.903349932095971,0.9053870529651424,0.9036303685134288,0.0019650763037217,40
8,67.8177474975586,3.808627482360517,0.0897257804870605,0.0218563991329052,1.0,43.54528000558007,0.0212623437527246,0.0992125657480124,0.7777777777777777,0.7777777777777777,0.0992125657480124,"{'nrounds': 1.0, 'min_child_weight': 43.54528000558007, 'lambda': 0.021262343752724643, 'eta': 0.09921256574801249, 'colsample_bytree': 0.7777777777777777, 'colsample_bylevel': 0.7777777777777777, 'alpha': 0.09921256574801249}",0.905246567447801,0.9100055099958724,0.9205593894732016,0.9222145945314326,0.9175829633091844,0.9151218049514984,0.0064750147450781,15,0.5036496350364963,0.4802955665024631,0.4912718204488778,0.4963325183374082,0.5128834355828221,0.4968865951816135,0.0110338800064303,49,0.9076714188730484,0.9045032812853588,0.9076505205975556,0.9067451335445904,0.9101403349932096,0.9073421378587524,0.0018137780403721,10
9,33.17291331291199,13.953339481541844,0.0769330501556396,0.0202776968387481,5000.0,14.813995396596646,2.160119477784612,0.4629373561436453,0.1111111111111111,0.2222222222222222,2.160119477784612,"{'nrounds': 5000.0, 'min_child_weight': 14.813995396596646, 'lambda': 2.1601194777846118, 'eta': 0.46293735614364534, 'colsample_bytree': 0.1111111111111111, 'colsample_bylevel': 0.2222222222222222, 'alpha': 2.1601194777846118}",0.8950063472037257,0.9024482488726896,0.9108178899684328,0.90842729999221,0.9028443172080706,0.9039088206490258,0.0054894875055702,64,0.5372460496613994,0.4780600461893765,0.5170842824601366,0.5299539170506913,0.4814814814814814,0.5087651553686171,0.0245623102634499,41,0.9072188277890926,0.897714415026024,0.9040289723856948,0.9076505205975556,0.898596650067904,0.9030418771732542,0.0041905313402059,45
10,19.900555467605592,0.6283944926064485,0.0803874969482421,0.0179085552485055,1667.0,1.7144879657061456,10.079368399158987,0.4629373561436453,0.8888888888888888,0.0,2.160119477784612,"{'nrounds': 1667.0, 'min_child_weight': 1.7144879657061456, 'lambda': 10.079368399158989, 'eta': 0.46293735614364534, 'colsample_bytree': 0.8888888888888888, 'colsample_bylevel': 0.0, 'alpha': 2.1601194777846118}",0.8894705536475005,0.9032372685996434,0.9056441737537654,0.9107808483290488,0.9020667796214068,0.9022399247902728,0.0070514934475771,70,0.4717208182912153,0.4514563106796116,0.4665856622114216,0.485781990521327,0.5005875440658049,0.4752264651538761,0.016772457890878,69,0.9006562570717357,0.897714415026024,0.9006337709370756,0.901765504753282,0.9038026256224536,0.9009145146821144,0.0019723853962925,61
11,29.75182843208313,0.9425496984838996,0.0539004325866699,0.0087591668368804,4444.0,2.9394689845511977,0.0045567540608442,0.2143109957132683,0.2222222222222222,0.6666666666666666,10.079368399158987,"{'nrounds': 4444.0, 'min_child_weight': 2.9394689845511977, 'lambda': 0.004556754060844206, 'eta': 0.21431099571326834, 'colsample_bytree': 0.2222222222222222, 'colsample_bylevel': 0.6666666666666666, 'alpha': 10.079368399158989}",0.9101792793003278,0.912755640444538,0.9238680026939022,0.9220782698449794,0.9167460271091376,0.917125443878577,0.0052436804997403,3,0.5246690734055355,0.5023696682464456,0.5088757396449703,0.5124555160142349,0.5306603773584905,0.5158060749339353,0.0103826380018876,30,0.91061326091876,0.9049558723693144,0.9060660932548664,0.9069714803078316,0.9099139882299684,0.907704139016148,0.0021963322177257,4
12,17.121763944625854,0.1246111809018185,0.0867054462432861,0.0268087014750212,1.0,74.65785853287147,0.0992125657480124,0.4629373561436453,0.1111111111111111,0.8888888888888888,0.0045567540608442,"{'nrounds': 1.0, 'min_child_weight': 74.65785853287147, 'lambda': 0.09921256574801249, 'eta': 0.46293735614364534, 'colsample_bytree': 0.1111111111111111, 'colsample_bylevel': 0.8888888888888888, 'alpha': 0.004556754060844206}",0.8997764849730925,0.9051589526724452,0.9088389154751612,0.9134021772999922,0.90448264781491,0.9063318356471202,0.0045616434083136,53,0.5370165745856353,0.4950055493895671,0.5464601769911503,0.5394006659267481,0.4965675057208238,0.5228900945227849,0.0223523230700552,16,0.905182167911292,0.8970355284000905,0.9071978270710728,0.9060660932548664,0.9004074241738343,0.9031778081622314,0.003845070322556,44
13,51.98767747879028,1.958402476022765,0.062064790725708,0.0132714217553813,556.0,25.3984168314912,0.0992125657480124,0.0459292028836124,0.6666666666666666,0.6666666666666666,0.0992125657480124,"{'nrounds': 556.0, 'min_child_weight': 25.398416831491197, 'lambda': 0.09921256574801249, 'eta': 0.045929202883612456, 'colsample_bytree': 0.6666666666666666, 'colsample_bylevel': 0.6666666666666666, 'alpha': 0.09921256574801249}",0.9000889776718612,0.8992936302111322,0.9101975707088368,0.9135258432655604,0.9135750175274598,0.90733620787697,0.0063659583804985,50,0.4049247606019152,0.3770491803278689,0.391123439667129,0.4032476319350474,0.433378196500673,0.4019446418065267,0.0186307792107392,93,0.9015614392396468,0.8968092328581126,0.9006337709370756,0.9001810774105931,0.9047080126754188,0.9007787066241694,0.0025372033975006,63
14,15.88332929611206,3.036649718306325,0.057789134979248,0.0090838377657769,5000.0,1.7144879657061456,219.4544596103868,1.0,0.8888888888888888,0.0,0.4629373561436453,"{'nrounds': 5000.0, 'min_child_weight': 1.7144879657061456, 'lambda': 219.45445961038678, 'eta': 1.0, 'colsample_bytree': 0.8888888888888888, 'colsample_bylevel': 0.0, 'alpha': 0.46293735614364534}",0.8898653068853531,0.8998042296519553,0.9065015017870754,0.9076156812339332,0.9001187972267664,0.9007811033570168,0.0063242700323569,72,0.468557336621455,0.4872389791183293,0.460093896713615,0.5029377203290246,0.4633853541416566,0.4764426573848161,0.0162388567972023,68,0.9024666214075584,0.8999773704458022,0.8958804889090086,0.9042553191489362,0.8988229968311453,0.90028055934849,0.0029036051616023,67
15,22.79935803413391,6.542176219847062,0.0961700916290283,0.042139769864704,5000.0,128.0,219.4544596103868,0.4629373561436453,0.2222222222222222,1.0,10.079368399158987,"{'nrounds': 5000.0, 'min_child_weight': 128.0, 'lambda': 219.45445961038678, 'eta': 0.46293735614364534, 'colsample_bytree': 0.2222222222222222, 'colsample_bylevel': 1.0, 'alpha': 10.079368399158989}",0.9001619899846577,0.9073746329914408,0.9162925000377948,0.9176335981927242,0.9146013476669004,0.9112128137747036,0.0065629899463026,28,0.5076741440377803,0.4607961399276237,0.5047846889952153,0.5012048192771084,0.4964028776978417,0.4941725339871139,0.017107439655065,52,0.9056347589952478,0.8988458927359131,0.9062924400181076,0.9062924400181076,0.90493435943866,0.9043999782412072,0.0028220891456124,36
16,71.57908124923706,2.385369282219768,0.1275321006774902,0.0353346612106422,1667.0,43.54528000558007,219.4544596103868,0.0992125657480124,0.7777777777777777,0.7777777777777777,2.160119477784612,"{'nrounds': 1667.0, 'min_child_weight': 43.54528000558007, 'lambda': 219.45445961038678, 'eta': 0.09921256574801249, 'colsample_bytree': 0.7777777777777777, 'colsample_bylevel': 0.7777777777777777, 'alpha': 2.1601194777846118}",0.8957729764880882,0.8981599923677795,0.9078065130596222,0.9110900132429696,0.9093601503466542,0.9044379291010228,0.0062340955513951,61,0.3775649794801641,0.3963254593175853,0.3950276243093922,0.4207723035952064,0.4453125,0.4070005733404696,0.0235848596874591,90,0.8970355284000905,0.8959040506902014,0.9008601177003168,0.9015391579900408,0.9035762788592124,0.8997830267279724,0.0028715182697239,71
17,103.27199287414552,3.4130493749127577,0.1003959655761718,0.0447874480496007,556.0,5.039684199579493,0.0212623437527246,0.4629373561436453,1.0,1.0,0.4629373561436453,"{'nrounds': 556.0, 'min_child_weight': 5.039684199579493, 'lambda': 0.021262343752724643, 'eta': 0.46293735614364534, 'colsample_bytree': 1.0, 'colsample_bylevel': 1.0, 'alpha': 0.46293735614364534}",0.9024940032553757,0.9039265048324416,0.9130053444015456,0.9160434681000234,0.904000642673522,0.9078939926525816,0.0055244707605784,46,0.5301478953356086,0.5125858123569794,0.5194508009153318,0.5195402298850574,0.5104895104895104,0.5184428497964976,0.0068816973675013,25,0.9065399411631592,0.9035980991174474,0.90493435943866,0.9053870529651424,0.90493435943866,0.905078762424614,0.0009448973105316,32
18,79.84645218849182,1.2765148037808636,0.0753178119659423,0.0125645045260088,1111.0,1.0,2.160119477784612,0.0992125657480124,0.8888888888888888,0.7777777777777777,0.0212623437527246,"{'nrounds': 1111.0, 'min_child_weight': 1.0, 'lambda': 2.1601194777846118, 'eta': 0.09921256574801249, 'colsample_bytree': 0.8888888888888888, 'colsample_bylevel': 0.7777777777777777, 'alpha': 0.021262343752724643}",0.9063972414974728,0.910688418494895,0.919564293994266,0.9215397873334892,0.919257322583158,0.9154894127806562,0.0058843174317679,12,0.4776119402985074,0.4701492537313433,0.4864197530864197,0.4926108374384236,0.4956413449564135,0.4844866259022216,0.0094550419765264,62,0.9049558723693144,0.9035980991174474,0.9058397464916252,0.9067451335445904,0.9083295608872792,0.9058936824820514,0.0016006606385749,22
19,18.71603627204895,0.6197613875077589,0.064921760559082,0.0324092531029641,556.0,14.813995396596646,2.160119477784612,0.0459292028836124,0.6666666666666666,0.1111111111111111,0.0212623437527246,"{'nrounds': 556.0, 'min_child_weight': 14.813995396596646, 'lambda': 2.1601194777846118, 'eta': 0.045929202883612456, 'colsample_bytree': 0.6666666666666666, 'colsample_bylevel': 0.1111111111111111, 'alpha': 0.021262343752724643}",0.8996917906902487,0.9008473322274402,0.9115269656000784,0.9143691088260496,0.9087953766456336,0.9070461147978902,0.0058185078997256,51,0.3669985775248933,0.3751724137931034,0.3841807909604519,0.4011142061281337,0.4092140921409214,0.3873360161095008,0.0157480716677408,100,0.8992984838198688,0.8974881194840462,0.9013128112267994,0.9026708918062472,0.9013128112267994,0.9004166235127521,0.0018173828763154,65
20,28.783553409576417,0.9117624123851552,0.0664852619171142,0.0107458916949334,3333.0,14.813995396596646,10.079368399158987,0.4629373561436453,0.2222222222222222,1.0,0.0212623437527246,"{'nrounds': 3333.0, 'min_child_weight': 14.813995396596646, 'lambda': 10.079368399158989, 'eta': 0.46293735614364534, 'colsample_bytree': 0.2222222222222222, 'colsample_bylevel': 1.0, 'alpha': 0.021262343752724643}",0.8908996479833026,0.9071015669415824,0.9144734820831608,0.9207612759990652,0.9095578211420114,0.9085587588298244,0.0099885044528368,42,0.5113636363636364,0.5034642032332564,0.5214446952595937,0.5491525423728814,0.5097588978185993,0.5190367950095933,0.0161258709990403,24,0.902692916949536,0.902692916949536,0.9040289723856948,0.909687641466727,0.903349932095971,0.904490475969493,0.0026452520466444,35
21,47.363802909851074,7.064509712038125,0.0887326717376709,0.0240515534972505,2222.0,43.54528000558007,2.160119477784612,0.0992125657480124,0.7777777777777777,0.5555555555555556,0.0992125657480124,"{'nrounds': 2222.0, 'min_child_weight': 43.54528000558007, 'lambda': 2.1601194777846118, 'eta': 0.09921256574801249, 'colsample_bytree': 0.7777777777777777, 'colsample_bylevel': 0.5555555555555556, 'alpha': 0.09921256574801249}",0.9079548375037968,0.907784962189357,0.9215900850354316,0.9209706317675468,0.9180985627483056,0.9152798158488876,0.0061640628848759,13,0.5151883353584447,0.4674046740467405,0.4854614412136536,0.4796044499381953,0.5012345679012346,0.4897786936916537,0.0167310346573366,54,0.9097080787508486,0.9020140303236026,0.9078768673607968,0.9047080126754188,0.9085559076505206,0.9065725793522376,0.0028186199802564,17
22,32.14413471221924,1.3180655484586223,0.0691662311553955,0.0069365826561605,1.0,25.3984168314912,0.0009765625,0.0992125657480124,0.4444444444444444,0.3333333333333333,0.0009765625,"{'nrounds': 1.0, 'min_child_weight': 25.398416831491197, 'lambda': 0.0009765625, 'eta': 0.09921256574801249, 'colsample_bytree': 0.4444444444444444, 'colsample_bylevel': 0.3333333333333333, 'alpha': 0.0009765625}",0.9090188702756166,0.9116774919589108,0.9219836366411662,0.9226737166004516,0.9194189647113812,0.9169545360375052,0.0055659010622502,6,0.5024875621890548,0.4634760705289673,0.4912280701754386,0.4937965260545905,0.5079754601226995,0.4917927378141501,0.0153780846188343,53,0.9094817832088709,0.9035980991174474,0.908103214124038,0.9076505205975556,0.9092349479402444,0.9076137129976312,0.0021205758670777,5
